SK_ID_PREV,SK_ID_CURR,NAME_CONTRACT_TYPE,AMT_ANNUITY,AMT_APPLICATION,AMT_CREDIT,AMT_DOWN_PAYMENT,AMT_GOODS_PRICE,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,FLAG_LAST_APPL_PER_CONTRACT,NFLAG_LAST_APPL_IN_DAY,RATE_DOWN_PAYMENT,RATE_INTEREST_PRIMARY,RATE_INTEREST_PRIVILEGED,NAME_CASH_LOAN_PURPOSE,NAME_CONTRACT_STATUS,DAYS_DECISION,NAME_PAYMENT_TYPE,CODE_REJECT_REASON,NAME_TYPE_SUITE,NAME_CLIENT_TYPE,NAME_GOODS_CATEGORY,NAME_PORTFOLIO,NAME_PRODUCT_TYPE,CHANNEL_TYPE,SELLERPLACE_AREA,NAME_SELLER_INDUSTRY,CNT_PAYMENT,NAME_YIELD_GROUP,PRODUCT_COMBINATION,DAYS_FIRST_DRAWING,DAYS_FIRST_DUE,DAYS_LAST_DUE_1ST_VERSION,DAYS_LAST_DUE,DAYS_TERMINATION,NFLAG_INSURED_ON_APPROVAL
1715995,447712,Cash loans,11368.62,270000,335754,,270000,FRIDAY,7,Y,1,,,,XNA,Approved,-735,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54,low_normal,Cash X-Sell: low,365243,-705,885,-345,-334,1
2257824,161140,Cash loans,13832.775,211500,246397.5,,211500,FRIDAY,10,Y,1,,,,XNA,Approved,-815,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30,middle,Cash X-Sell: middle,365243,-785,85,-725,-721,1
2330894,258628,Cash loans,12165.21,148500,174361.5,,148500,TUESDAY,15,Y,1,,,,XNA,Approved,-860,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,high,Cash X-Sell: high,365243,-830,-140,-200,-197,1
1397919,321676,Consumer loans,7654.86,53779.5,57564,0,53779.5,SUNDAY,15,Y,1,0,,,XAP,Approved,-408,Cash through the bank,XAP,Unaccompanied,New,Consumer Electronics,POS,XNA,Country-wide,200,Consumer electronics,8,low_action,POS household without interest,365243,-378,-168,-168,-163,1
2273188,270658,Consumer loans,9644.22,26550,27252,0,26550,SATURDAY,10,Y,1,0,,,XAP,Approved,-726,Cash through the bank,XAP,,New,Construction Materials,POS,XNA,Stone,83,Consumer electronics,3,middle,POS household with interest,365243,-693,-633,-633,-627,0
1232483,151612,Consumer loans,21307.455,126490.5,119853,12649.5,126490.5,TUESDAY,7,Y,1,0.103971287,,,XAP,Approved,-699,Cash through the bank,XAP,Unaccompanied,New,Auto Accessories,POS,XNA,Regional / Local,130,Industry,6,low_normal,POS other with interest,365243,-668,-518,-518,-512,0
2163253,154602,Consumer loans,4187.34,26955,27297,1350,26955,SATURDAY,12,Y,1,0.051323794,,,XAP,Approved,-1473,Cash through the bank,XAP,Unaccompanied,Repeater,Photo / Cinema Equipment,POS,XNA,Stone,130,Consumer electronics,8,high,POS household with interest,365243,-1440,-1230,-1230,-1226,0
1285768,142748,Revolving loans,9000,180000,180000,,180000,FRIDAY,13,Y,1,,,,XAP,Approved,-336,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,AP+ (Cash loan),6,XNA,0,XNA,Card X-Sell,-277,-257,365243,365243,365243,0
2393109,396305,Cash loans,10181.7,180000,180000,,180000,THURSDAY,14,Y,1,,,,XNA,Approved,-700,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),6,XNA,24,low_normal,Cash X-Sell: low,,,,,,
1173070,199178,Cash loans,4666.5,45000,49455,,45000,SATURDAY,16,Y,1,,,,Everyday expenses,Refused,-584,XNA,HC,,Repeater,XNA,Cash,walk-in,AP+ (Cash loan),6,XNA,18,high,Cash Street: high,,,,,,
1506815,166490,Cash loans,25454.025,450000,491580,,450000,MONDAY,6,Y,1,,,,XNA,Refused,-401,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,24,low_normal,Cash X-Sell: low,,,,,,
1182516,267782,Cash loans,20361.6,405000,451777.5,,405000,SATURDAY,4,Y,1,,,,XNA,Approved,-686,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30,low_normal,Cash X-Sell: low,365243,-656,214,365243,365243,1
1172842,302212,Cash loans,,0,0,,,TUESDAY,9,Y,1,,,,XNA,Refused,-239,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1172937,302212,Cash loans,39475.305,1129500,1277104.5,,1129500,THURSDAY,5,Y,1,,,,XNA,Refused,-594,Cash through the bank,HC,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54,low_normal,Cash X-Sell: low,,,,,,
1555330,199353,Cash loans,,0,0,,,SATURDAY,6,Y,1,,,,XNA,Canceled,-202,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1543131,275707,Cash loans,22619.52,229500,241920,,229500,THURSDAY,8,Y,1,,,,XNA,Approved,-370,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,low_normal,Cash X-Sell: low,365243,-340,-10,-10,-3,1
2536650,338725,Cash loans,16708.32,369000,369000,,369000,WEDNESDAY,13,Y,1,,,,XNA,Approved,-1487,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,48,middle,Cash X-Sell: middle,365243,-1457,-47,-47,-41,0
1676258,433469,Cash loans,22242.825,247500,268083,0,247500,THURSDAY,14,Y,1,0,,,XNA,Approved,-1883,XNA,XAP,,Repeater,XNA,Cash,x-sell,Country-wide,-1,Consumer electronics,18,high,Cash X-Sell: high,365243,-1853,-1343,-1343,-1334,1
2075578,418383,Consumer loans,7656.705,74610,65610,9000,74610,MONDAY,14,Y,1,0.131374054,,,XAP,Approved,-2702,Cash through the bank,XAP,Family,New,Mobile,POS,XNA,Stone,61,Connectivity,12,low_normal,POS mobile with interest,365243,-2671,-2341,-2341,-2332,0
1583704,315664,Cash loans,,0,0,,,WEDNESDAY,15,Y,1,,,,XNA,Refused,-430,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2138466,170289,Consumer loans,3286.485,32562,32562,0,32562,FRIDAY,12,Y,1,0,0.196914315,0.867336152,XAP,Approved,-307,Cash through the bank,XAP,,Refreshed,Photo / Cinema Equipment,POS,XNA,Country-wide,20,Connectivity,12,middle,POS mobile with interest,365243,-273,57,-183,-179,0
2191093,182450,Consumer loans,9789.255,100485,100485,0,100485,WEDNESDAY,9,Y,1,0,,,XAP,Approved,-391,Cash through the bank,XAP,,Refreshed,Computers,POS,XNA,Stone,200,Consumer electronics,12,low_normal,POS household with interest,365243,-360,-30,-270,-261,0
1471931,257846,Cash loans,,0,0,,,MONDAY,12,Y,1,,,,XNA,Canceled,-302,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1478703,393511,Cash loans,,0,0,,,WEDNESDAY,19,Y,1,,,,XNA,Canceled,-152,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1629736,255331,Revolving loans,10125,202500,202500,,202500,SATURDAY,14,Y,1,,,,XAP,Approved,-284,XNA,XAP,Unaccompanied,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,-265,-234,365243,365243,365243,0
2027074,208000,Consumer loans,12065.535,56655,66411,0,56655,SATURDAY,7,Y,1,0,,,XAP,Approved,-676,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,50,Consumer electronics,6,middle,POS household with interest,365243,-645,-495,-495,-493,0
2766278,178375,Consumer loans,7511.085,32490,38380.5,0,32490,MONDAY,5,Y,1,0,,,XAP,Refused,-801,Cash through the bank,LIMIT,"Spouse, partner",Repeater,Consumer Electronics,POS,XNA,Country-wide,50,Consumer electronics,6,high,POS household with interest,,,,,,
1151694,161591,Consumer loans,39111.075,214380,209497.5,13500,214380,FRIDAY,12,Y,1,0.065932252,,,XAP,Approved,-989,Cash through the bank,XAP,Family,Repeater,Audio/Video,POS,XNA,Country-wide,50,Consumer electronics,6,middle,POS household with interest,365243,-958,-808,-808,-804,0
1692577,125157,Consumer loans,9946.485,99319.5,109809,0,99319.5,SATURDAY,9,Y,1,0,,,XAP,Approved,-392,XNA,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Regional / Local,136,Consumer electronics,12,low_action,POS household without interest,365243,-362,-32,-242,-237,1
2740958,281589,Consumer loans,6752.25,35955,33115.5,4500,35955,THURSDAY,9,Y,1,0.130289617,,,XAP,Approved,-983,Cash through the bank,XAP,Unaccompanied,Refreshed,Mobile,POS,XNA,Country-wide,40,Connectivity,6,high,POS mobile with interest,365243,-952,-802,-802,-783,0
2317570,258076,Consumer loans,4539.285,18360,21834,0,18360,WEDNESDAY,10,Y,1,0,,,XAP,Approved,-795,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,40,Connectivity,6,high,POS mobile with interest,365243,-764,-614,-614,-609,0
1366380,247572,Consumer loans,,17950.5,17950.5,0,17950.5,MONDAY,19,Y,1,0,,,XAP,Unused offer,-1141,Cash through the bank,CLIENT,,Repeater,Mobile,XNA,XNA,Country-wide,25,Connectivity,,XNA,POS mobile with interest,,,,,,
2319873,188414,Consumer loans,3560.715,71356.5,76410,7573.5,71356.5,FRIDAY,17,Y,1,0.098212506,,,XAP,Approved,-2594,Cash through the bank,XAP,Unaccompanied,Repeater,Consumer Electronics,POS,XNA,Country-wide,1535,Consumer electronics,24,low_action,POS household without interest,365243,-2563,-1873,-1933,-1927,1
2057616,304455,Consumer loans,15542.73,129505.5,131112,9000,129505.5,WEDNESDAY,12,Y,1,0.069957021,,,XAP,Approved,-406,Cash through the bank,XAP,,New,Consumer Electronics,POS,XNA,Country-wide,800,Consumer electronics,10,middle,POS household with interest,365243,-374,-104,-104,-101,0
2675386,118974,Consumer loans,6899.49,55831.5,60745.5,0,55831.5,SUNDAY,13,Y,1,0,,,XAP,Approved,-302,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,182,Connectivity,10,low_normal,POS mobile without interest,365243,-272,-2,365243,365243,1
2621158,281470,Revolving loans,14625,292500,292500,,292500,FRIDAY,17,Y,1,,,,XAP,Refused,-231,XNA,HC,Unaccompanied,Repeater,XNA,Cards,x-sell,Country-wide,182,Connectivity,0,XNA,Card X-Sell,,,,,,
2586290,447421,Consumer loans,10274.04,126544.5,101232,25312.5,126544.5,SATURDAY,15,Y,1,0.217849165,,,XAP,Approved,-243,Cash through the bank,XAP,Unaccompanied,Repeater,Mobile,POS,XNA,Country-wide,212,Connectivity,12,middle,POS mobile with interest,365243,-212,118,-122,-116,0
1475738,235737,Cash loans,75897.63,2025000,2241513,,2025000,THURSDAY,19,Y,1,,,,XNA,Approved,-524,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,54,low_normal,Cash X-Sell: low,,,,,,
2600277,256517,Cash loans,,0,0,,,FRIDAY,17,Y,1,,,,XNA,Canceled,-218,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1371540,200721,Revolving loans,11250,225000,225000,,225000,FRIDAY,15,Y,1,,,,XAP,Approved,-847,XNA,XAP,,Repeater,XNA,Cards,walk-in,Credit and cash offices,-1,XNA,0,XNA,Card Street,365243,365243,365243,365243,-171,0
2261993,299391,Revolving loans,,0,0,,,FRIDAY,13,Y,1,,,,XAP,Canceled,-161,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2664403,163660,Cash loans,9804.285,67500,82611,,67500,SATURDAY,10,Y,1,,,,Car repairs,Approved,-766,Cash through the bank,XAP,,New,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,12,high,Cash Street: high,365243,-736,-406,-466,-464,1
1912041,253391,Cash loans,5294.43,45000,47970,,45000,SUNDAY,17,Y,1,,,,XNA,Refused,-774,Cash through the bank,HC,Unaccompanied,Refreshed,XNA,Cash,x-sell,Regional / Local,333,Consumer electronics,12,high,Cash X-Sell: high,,,,,,
2609003,371440,Consumer loans,11688.255,93415.5,101637,0,93415.5,FRIDAY,10,Y,1,0,,,XAP,Approved,-598,Cash through the bank,XAP,Unaccompanied,New,Computers,POS,XNA,Regional / Local,333,Consumer electronics,10,middle,POS household with interest,365243,-567,-297,-357,-344,0
1399859,197343,Consumer loans,4818.78,106398,106398,0,106398,SATURDAY,14,Y,1,0,,,XAP,Refused,-409,Cash through the bank,LIMIT,,Repeater,Computers,POS,XNA,Country-wide,1000,Consumer electronics,24,low_action,POS household without interest,,,,,,
2741581,383645,Cash loans,47407.5,450000,450000,,450000,MONDAY,13,Y,1,,,,XNA,Approved,-557,Cash through the bank,XAP,,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,middle,Cash X-Sell: middle,365243,-527,-197,-197,-194,0
2563201,290976,Cash loans,49299.435,450000,504711,,450000,THURSDAY,15,Y,1,,,,XNA,Approved,-1042,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,12,low_normal,Cash X-Sell: low,365243,-1012,-682,-742,-738,1
2586409,446260,Cash loans,,0,0,,,THURSDAY,16,Y,1,,,,XNA,Canceled,-209,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1760006,283527,Cash loans,14730.66,72000,72000,,72000,WEDNESDAY,15,Y,1,,,,XNA,Approved,-183,XNA,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Contact center,-1,XNA,6,high,Cash X-Sell: high,365243,-153,-3,-3,365243,0
2076528,431383,Consumer loans,3725.505,26370,29983.5,2637,26370,SATURDAY,16,Y,1,0.088040733,,,XAP,Approved,-1773,Cash through the bank,XAP,Unaccompanied,New,Mobile,POS,XNA,Country-wide,24,Connectivity,12,high,POS mobile with interest,365243,-1742,-1412,-1472,-1464,0
2511538,435636,Cash loans,,0,0,,,THURSDAY,15,Y,1,,,,XNA,Canceled,-152,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1024150,374768,Cash loans,,0,0,,,FRIDAY,11,Y,1,,,,XNA,Canceled,-19,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2326929,221146,Revolving loans,,0,0,,,MONDAY,14,Y,1,,,,XAP,Canceled,-295,XNA,XAP,,Refreshed,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1074341,137179,Cash loans,,0,0,,,FRIDAY,16,Y,1,,,,XNA,Canceled,-237,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1760015,269239,Cash loans,,0,0,,,WEDNESDAY,8,Y,1,,,,XNA,Canceled,-207,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2810623,369919,Cash loans,,0,0,,,WEDNESDAY,10,Y,1,,,,XNA,Canceled,-419,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2433280,407487,Cash loans,,0,0,,,TUESDAY,11,Y,1,,,,XNA,Canceled,-181,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2325707,353086,Cash loans,,0,0,,,FRIDAY,16,Y,1,,,,XNA,Canceled,-388,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2345724,197444,Cash loans,10030.5,360000,360000,,360000,THURSDAY,10,Y,1,,,,XNA,Approved,-208,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,60,low_normal,Cash X-Sell: low,365243,-178,1592,365243,365243,0
2734980,348760,Cash loans,,0,0,,,SUNDAY,8,Y,1,,,,XNA,Canceled,-405,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1816690,372970,Consumer loans,10483.65,104850,93838.5,11011.5,104850,SATURDAY,11,Y,1,0.114377917,,,XAP,Approved,-132,Cash through the bank,XAP,,Repeater,Medicine,POS,XNA,Stone,250,XNA,10,low_normal,POS industry with interest,365243,-99,171,365243,365243,0
2203764,205177,Cash loans,34423.11,450000,491580,,450000,WEDNESDAY,17,Y,1,,,,XNA,Approved,-880,Cash through the bank,XAP,Family,Repeater,XNA,Cash,x-sell,AP+ (Cash loan),5,XNA,24,high,Cash X-Sell: high,365243,-850,-160,-730,-720,1
1946657,427532,Consumer loans,7795.125,147195,172840.5,0,147195,SUNDAY,11,Y,1,0,,,XAP,Approved,-1327,Cash through the bank,XAP,Unaccompanied,New,Audio/Video,POS,XNA,Country-wide,2078,Consumer electronics,24,low_action,POS household without interest,365243,-1296,-606,-996,-990,0
1894597,442603,Consumer loans,2334.42,39996,45153,0,39996,MONDAY,17,Y,1,0,,,XAP,Approved,-1071,Cash through the bank,XAP,Children,Repeater,Photo / Cinema Equipment,POS,XNA,Country-wide,2078,Consumer electronics,24,low_normal,POS household with interest,365243,-1040,-350,-350,-344,0
1385097,369423,Consumer loans,2652.705,19611,14170.5,6111,19611,FRIDAY,12,Y,1,0.328152974,,,XAP,Approved,-1525,Cash through the bank,XAP,"Spouse, partner",Repeater,Audio/Video,POS,XNA,Country-wide,2078,Consumer electronics,6,middle,POS household with interest,,,,,,
1973766,282755,Consumer loans,13150.575,249309,287482.5,0,249309,FRIDAY,17,Y,1,0,,,XAP,Approved,-1268,Cash through the bank,XAP,Unaccompanied,Repeater,Audio/Video,POS,XNA,Country-wide,2078,Consumer electronics,24,low_action,POS household without interest,365243,-1237,-547,-937,-930,0
1241792,404105,Consumer loans,23343.03,132480,125527.5,13248,132480,SATURDAY,16,Y,1,0.10396847,,,XAP,Approved,-33,Cash through the bank,XAP,Family,Refreshed,Consumer Electronics,POS,XNA,Regional / Local,100,Consumer electronics,6,middle,POS household with interest,365243,-3,147,365243,365243,1
1395742,451154,Consumer loans,6087.42,66649.5,59980.5,6669,66649.5,FRIDAY,13,Y,1,0.10897527,,,XAP,Approved,-600,Cash through the bank,XAP,,Repeater,Mobile,POS,XNA,Country-wide,30,Connectivity,12,middle,POS mobile with interest,365243,-562,-232,-352,-346,0
2729966,216189,Consumer loans,30041.055,325588.5,293026.5,32562,325588.5,SUNDAY,18,Y,1,0.108919628,,,XAP,Approved,-514,Cash through the bank,XAP,Unaccompanied,New,Clothing and Accessories,POS,XNA,Stone,40,Clothing,12,middle,POS industry with interest,365243,-484,-154,-184,-178,0
2334831,430368,Cash loans,58021.695,877500,1031193,,877500,THURSDAY,16,Y,1,,,,XNA,Approved,-970,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30,middle,Cash X-Sell: middle,365243,-940,-70,-70,-57,1
2012211,282125,Revolving loans,33750,0,675000,,,FRIDAY,17,Y,1,,,,XAP,Refused,-568,XNA,SCOFR,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,,,,,,
1299881,454363,Cash loans,40933.575,688500,783018,,688500,WEDNESDAY,12,Y,1,,,,XNA,Refused,-456,Cash through the bank,HC,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,48,high,Cash X-Sell: high,,,,,,
2709276,342991,Revolving loans,45000,900000,900000,,900000,TUESDAY,13,Y,1,,,,XAP,Approved,-511,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,-479,-435,365243,365243,365243,0
2742815,244966,Cash loans,,0,0,,,WEDNESDAY,12,Y,1,,,,XNA,Canceled,-183,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
2796269,240839,Cash loans,,0,0,,,WEDNESDAY,13,Y,1,,,,XNA,Refused,-223,XNA,HC,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1981960,306707,Cash loans,10678.005,225000,269550,,225000,WEDNESDAY,11,Y,1,,,,Building a house or an annex,Refused,-13,Cash through the bank,SCOFR,Unaccompanied,Repeater,XNA,Cash,walk-in,Credit and cash offices,-1,XNA,36,low_normal,Cash Street: low,,,,,,
1275378,433914,Revolving loans,,0,0,,,TUESDAY,17,Y,1,,,,XAP,Canceled,-314,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
1009986,360684,Consumer loans,11451.735,57600,60642,0,57600,TUESDAY,14,Y,1,0,,,XAP,Approved,-693,Cash through the bank,XAP,Unaccompanied,New,Furniture,POS,XNA,Stone,95,Furniture,6,middle,POS industry with interest,365243,-662,-512,-512,-506,0
1519873,258336,Consumer loans,4699.035,46530,46300.5,4653,46530,WEDNESDAY,12,Y,1,0.099454208,,,XAP,Approved,-621,Cash through the bank,XAP,Unaccompanied,Refreshed,Mobile,POS,XNA,Country-wide,31,Connectivity,12,middle,POS mobile with interest,365243,-590,-260,-260,-252,0
2535384,394386,Consumer loans,3995.505,28750.5,19750.5,9000,28750.5,SUNDAY,8,Y,1,0.340926877,,,XAP,Approved,-953,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,20,Connectivity,6,high,POS mobile with interest,365243,-914,-764,-854,-827,0
2443751,210583,Cash loans,,0,0,,,MONDAY,18,Y,1,,,,XNA,Canceled,-201,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Cash,,,,,,
1524716,273901,Revolving loans,,0,0,,,MONDAY,14,Y,1,,,,XAP,Canceled,-395,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2081217,281586,Revolving loans,,0,0,,,THURSDAY,14,Y,1,,,,XAP,Canceled,-84,XNA,XAP,,Repeater,XNA,XNA,XNA,Credit and cash offices,-1,XNA,,XNA,Card Street,,,,,,
2522811,120854,Revolving loans,33750,0,675000,,,THURSDAY,18,Y,1,,,,XAP,Approved,-879,XNA,XAP,,Repeater,XNA,Cards,x-sell,Credit and cash offices,-1,XNA,0,XNA,Card X-Sell,-332,-297,365243,365243,365243,0
2408628,320444,Cash loans,55973.295,1035000,1110141,,1035000,FRIDAY,16,Y,1,,,,XNA,Approved,-953,Cash through the bank,XAP,Unaccompanied,Repeater,XNA,Cash,x-sell,Credit and cash offices,-1,XNA,30,middle,Cash X-Sell: middle,365243,-923,-53,-53,-48,1
1851241,415052,Consumer loans,9675.855,46476,48775.5,0,46476,TUESDAY,16,Y,1,0,,,XAP,Approved,-1368,Cash through the bank,XAP,Children,New,Consumer Electronics,POS,XNA,Country-wide,3500,Consumer electronics,6,high,POS household with interest,365243,-1337,-1187,-1187,-1181,0
2030030,133853,Consumer loans,7253.055,104809.5,121410,0,104809.5,SATURDAY,14,Y,1,0,,,XAP,Approved,-346,Cash through the bank,XAP,,Repeater,Audio/Video,POS,XNA,Country-wide,3500,Consumer electronics,18,low_action,POS household without interest,365243,-315,195,365243,365243,0
1935914,191576,Consumer loans,,23400,23400,,23400,SATURDAY,9,Y,1,,,,XAP,Unused offer,-1412,Cash through the bank,CLIENT,Family,Repeater,Audio/Video,XNA,XNA,Country-wide,3500,Consumer electronics,,XNA,POS household with interest,,,,,,
